iter	Passed	Remaining
440	1296	1642
441	1298	1639
442	1301	1635
443	1303	1632
444	1307	1630
445	1310	1627
446	1313	1624
447	1315	1621
448	1318	1618
449	1321	1615
450	1324	1612
451	1327	1609
452	1330	1606
453	1332	1603
454	1335	1599
455	1338	1596
456	1341	1593
457	1344	1590
458	1346	1587
459	1349	1584
460	1352	1581
461	1355	1578
462	1358	1575
463	1360	1572
464	1364	1569
465	1366	1566
466	1369	1563
467	1372	1560
468	1375	1557
469	1378	1553
470	1380	1550
471	1383	1547
472	1385	1544
473	1388	1540
474	1391	1538
475	1395	1535
476	1398	1533
477	1401	1530
478	1404	1527
479	1407	1524
480	1409	1521
481	1414	1519
482	1417	1517
483	1420	1514
484	1422	1510
485	1425	1507
486	1427	1504
487	1430	1501
488	1433	1498
489	1436	1495
490	1439	1492
491	1441	1488
492	1444	1485
493	1446	1481
494	1449	1478
495	1451	1475
496	1453	1471
497	1456	1468
498	1459	1464
499	1461	1461
500	1464	1458
501	1467	1455
502	1469	1452
503	1472	1449
504	1475	1446
505	1477	1442
506	1480	1439
507	1483	1436
508	1485	1433
509	1488	1430
510	1490	1426
511	1494	1424
512	1498	1422
513	1501	1419
514	1504	1417
515	1507	1414
516	1510	1411
517	1514	1408
518	1516	1405
519	1519	1402
520	1521	1399
521	1524	1396
522	1527	1393
523	1530	1390
524	1533	1387
525	1536	1384
526	1538	1380
527	1540	1377
528	1544	1374
529	1547	1371
530	1549	1368
531	1551	1365
532	1554	1361
533	1557	1358
534	1560	1356
535	1563	1353
536	1567	1351
537	1569	1348
538	1573	1345
539	1576	1343
540	1579	1340
541	1582	1336
542	1584	1333
543	1587	1331
544	1591	1328
545	1593	1325
546	1596	1322
547	1599	1319
548	1601	1315
549	1605	1313
550	1608	1310
551	1611	1307
552	1613	1304
553	1615	1300
554	1618	1297
555	1621	1295
556	1624	1291
557	1626	1288
558	1629	1285
559	1632	1282
560	1634	1278
561	1637	1275
562	1639	1272
563	1642	1269
564	1645	1267
565	1648	1263
566	1651	1260
567	1653	1257
568	1656	1254
569	1659	1251
570	1662	1249
571	1667	1247
572	1670	1245
573	1673	1241
574	1676	1238
575	1678	1235
576	1681	1232
577	1684	1230
578	1687	1227
579	1690	1224
580	1693	1221
581	1695	1217
582	1698	1215
583	1701	1211
584	1704	1209
585	1707	1206
586	1709	1202
587	1712	1199
588	1716	1197
589	1718	1194
590	1721	1191
591	1724	1188
592	1726	1185
593	1729	1182
594	1732	1179
595	1734	1176
596	1737	1172
597	1739	1169
598	1741	1166
599	1744	1163
600	1748	1160
601	1751	1157
602	1754	1154
603	1756	1151
604	1759	1148
605	1762	1145
606	1765	1142
607	1768	1139
608	1771	1137
609	1773	1134
610	1777	1131
611	1780	1128
612	1782	1125
613	1785	1122
614	1787	1119
615	1790	1116
616	1793	1113
617	1796	1110
618	1798	1107
619	1801	1104
620	1803	1100
621	1806	1097
622	1809	1094
623	1811	1091
624	1813	1088
625	1816	1085
626	1818	1081
627	1821	1078
628	1824	1075
629	1826	1072
630	1829	1069
631	1832	1066
632	1834	1063
633	1836	1060
634	1839	1057
635	1842	1054
636	1844	1051
637	1847	1048
638	1849	1044
639	1851	1041
640	1854	1038
641	1857	1035
642	1860	1032
643	1862	1029
644	1864	1026
645	1867	1023
646	1870	1020
647	1873	1017
648	1875	1014
649	1877	1011
650	1880	1007
651	1882	1004
652	1885	1001
653	1887	998
654	1890	995
655	1893	992
656	1895	989
657	1898	986
658	1900	983
659	1903	980
660	1906	977
661	1909	975
662	1913	972
663	1916	969
664	1919	966
665	1921	963
666	1924	960
667	1926	957
668	1928	954
669	1931	951
670	1934	948
671	1936	945
672	1938	942
673	1941	939
674	1944	936
675	1947	933
676	1949	930
677	1952	927
678	1955	924
679	1957	921
680	1960	918
681	1962	915
682	1965	912
683	1968	909
684	1971	906
685	1973	903
686	1975	900
687	1978	897
688	1981	894
689	1984	891
690	1986	888
691	1989	885
692	1991	882
693	1994	879
694	1996	876
695	1999	873
696	2001	870
697	2004	867
698	2006	863
699	2008	860
700	2011	858
701	2014	855
702	2016	852
703	2019	849
704	2021	846
705	2024	842
706	2026	839
707	2029	837
708	2032	834
709	2034	831
710	2037	828
711	2039	825
712	2042	822
713	2045	819
714	2047	816
715	2049	813
716	2052	810
717	2055	807
718	2058	804
719	2061	801
720	2063	798
721	2066	795
722	2068	792
723	2071	789
724	2073	786
725	2076	783
726	2078	780
727	2080	777
728	2083	774
729	2085	771
730	2088	768
731	2090	765
732	2093	762
733	2095	759
734	2097	756
735	2100	753
736	2102	750
737	2105	747
738	2107	744
739	2110	741
740	2112	738
741	2115	735
742	2117	732
743	2119	729
744	2122	726
745	2124	723
