iter	Logloss
0	0.6348129672
1	0.5700812228
2	0.5249154427
3	0.4848155213
4	0.4642194149
5	0.4298641397
6	0.4073374021
7	0.3913585602
8	0.373543562
9	0.3588721461
10	0.3421095457
11	0.3323585733
12	0.3144502556
13	0.3059636426
14	0.2968204414
15	0.2909788653
16	0.2791743293
17	0.2730456307
18	0.2682823454
19	0.2600790213
20	0.2502288661
21	0.2436360623
22	0.2383715893
23	0.232917075
24	0.226507016
25	0.221373593
26	0.2169919542
27	0.2099729125
28	0.2057330909
29	0.2020032809
30	0.1968700765
31	0.1928458569
32	0.1862495531
33	0.1825925645
34	0.178899332
35	0.1759538563
36	0.1722706334
37	0.168802827
38	0.1669486709
39	0.1647495994
40	0.1613389918
41	0.1593284946
42	0.1574886999
43	0.1546607123
44	0.1503260509
45	0.1458442071
46	0.1446679637
47	0.1427735392
48	0.1420891907
49	0.1396398077
50	0.1380431183
51	0.1373355703
52	0.1352107397
53	0.1332514347
54	0.1306482852
55	0.1271955875
56	0.124327635
57	0.123345965
58	0.1216547594
59	0.1192154333
60	0.1184201053
61	0.1161992669
62	0.1142900813
63	0.1133668593
64	0.1114706597
65	0.1100602253
66	0.1090850916
67	0.1072208836
68	0.1058020623
69	0.1041192003
70	0.1031888498
71	0.1012334403
72	0.09968721805
73	0.09924336038
74	0.09817981632
75	0.09771625341
76	0.09696436841
77	0.09608906082
78	0.09449549367
79	0.09347959245
80	0.09261307583
81	0.09096786044
82	0.09006743592
83	0.0889666498
84	0.08809849881
85	0.08658002368
86	0.08520624741
87	0.08489979831
88	0.08381534184
89	0.08231874316
90	0.08133767439
91	0.08116700072
92	0.08103741347
93	0.0797192903
94	0.07873093284
95	0.07856455211
96	0.07826200963
97	0.07807882855
98	0.07679626764
99	0.0763080885
100	0.07521926085
101	0.07455707737
102	0.07302852147
103	0.07243702533
104	0.07140062801
105	0.07129529682
106	0.06973635071
107	0.06946280496
108	0.06895014396
109	0.06827718796
110	0.06820203505
111	0.0675127215
112	0.06671784221
113	0.06611593898
114	0.06501732511
115	0.06444502807
116	0.06434370982
117	0.06354289269
118	0.06219794348
119	0.06209529543
120	0.06070513792
121	0.06007041714
122	0.05922815166
123	0.05858374344
124	0.05798536842
125	0.05733257133
126	0.05627837946
127	0.05553740153
128	0.05542372833
129	0.05505938421
130	0.05457463521
131	0.05399611296
132	0.05376667604
133	0.05264458383
134	0.05256107066
135	0.0518241669
136	0.05134553274
137	0.05085801464
138	0.05042025199
139	0.05036179154
140	0.04975919218
141	0.04932823946
142	0.04878683631
143	0.04792466753
144	0.04729954033
145	0.04663901526
146	0.0462357033
147	0.04590064993
148	0.04538827788
149	0.04502508726
150	0.04447594261
151	0.04380265152
152	0.04376411841
153	0.04327075371
154	0.04289117712
155	0.04285007509
156	0.04263696186
157	0.04234851907
158	0.04230895351
159	0.04177096453
160	0.04141153212
161	0.04066000641
162	0.04036752506
163	0.03999809819
164	0.0396656283
165	0.03932294905
166	0.03926471966
167	0.03887055883
168	0.03845909187
169	0.03791977642
170	0.03744487766
171	0.03727143227
172	0.03655521707
173	0.03613517669
174	0.03575858568
175	0.03545970019
176	0.03510635754
177	0.03496016414
178	0.03436903834
179	0.03408827775
180	0.03360191893
181	0.03357613499
182	0.0333949088
183	0.03313612447
184	0.03266653443
185	0.03261832265
186	0.03239499952
187	0.03222561795
188	0.03221176774
189	0.03205633549
190	0.03159478256
191	0.03140369297
192	0.03116435264
193	0.03090715391
194	0.03066306065
195	0.03052693873
196	0.03007772006
197	0.02977223533
198	0.02955444057
199	0.02929755236
200	0.0291783057
201	0.02915771767
202	0.02912884025
203	0.0289031047
204	0.02865052802
205	0.02846778974
206	0.02826537307
207	0.02811876354
208	0.0279307397
209	0.02775228366
210	0.02752474514
211	0.02735805143
212	0.02734765399
213	0.02718506989
214	0.02691524918
215	0.02689751603
216	0.02641584963
217	0.02614997116
218	0.0259884916
219	0.0256923038
220	0.02556647809
221	0.02538123948
222	0.02536693911
223	0.0251666168
224	0.02497241372
225	0.02477477314
226	0.02473754739
227	0.02458333127
228	0.02442868235
229	0.02425588818
230	0.02394104337
231	0.02364327664
232	0.02340709154
233	0.02316297934
234	0.0229698545
235	0.02284365704
236	0.02272117252
237	0.02246153434
238	0.02223704579
239	0.02214397675
240	0.02204063625
241	0.02191653525
242	0.0218459437
243	0.0217148605
244	0.02156517206
245	0.02155470743
246	0.02139805905
247	0.02132323685
248	0.02122666118
249	0.02094833267
250	0.0207640416
251	0.02061696453
252	0.02050571691
253	0.02042865753
254	0.02025621879
255	0.0201070442
256	0.01994213697
257	0.01975302945
258	0.0195430304
259	0.01934174232
260	0.01921189647
261	0.01910508688
262	0.01907266879
263	0.01891310729
264	0.01881705057
265	0.01871073571
266	0.01864260325
267	0.01837551638
268	0.01815441727
269	0.01801269453
270	0.01786050716
271	0.01784093719
272	0.01777925695
273	0.01758328846
274	0.01756496391
275	0.01749155397
276	0.01726297195
